label,precision,recall,f1,support
0,0.9324089225734218,0.9505672040178414,0.9414005095607865,56946
1,0.9445665002269632,0.9704691726518049,0.9573426573426573,53605
2,0.9706672435862765,0.9407817714794947,0.9554908781145737,57229
3,0.7917023743509604,0.9053699593577955,0.844729517124531,34693
4,0.9998264310757802,0.999982640395799,0.9999045296348692,57605
5,0.941869896717677,0.910253283628889,0.9257917349514994,57406
6,0.9504182346751324,0.9250598895948339,0.9375676270068177,57606
7,0.9076235455910826,0.8707079123702393,0.888782570945078,57606
