,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7
true_0,52704,108,456,1615,21,943,355,744
true_1,138,50677,721,1224,14,96,58,677
true_2,645,1345,52300,1332,35,602,285,685
true_3,1059,1539,1016,28070,11,559,1060,1379
true_4,0,0,8,0,57590,6,0,1
true_5,1786,170,798,2746,21,49311,1205,1369
true_6,277,176,212,1587,16,726,52452,2160
true_7,1019,1389,719,3205,30,974,4503,45767
