,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7
true_0,55843,28,97,613,0,309,9,47
true_1,7,53291,48,134,0,13,4,108
true_2,86,76,56779,149,0,63,11,65
true_3,197,146,34,34078,0,116,26,96
true_4,0,0,1,0,57604,0,0,0
true_5,346,106,184,418,3,56144,28,177
true_6,18,15,10,148,0,55,55771,1589
true_7,48,192,62,295,3,91,309,56606
