label,precision,recall,f1,support
0,0.8717754292845521,0.9690935272012081,0.9178621028033497,56946
1,0.954795908965263,0.9665516276466748,0.9606378047649949,53605
2,0.9792376017764619,0.9246710583794929,0.9511723840422759,57229
3,0.8677204401053773,0.8069927651111175,0.8362555631888646,34693
4,0.9996181218538448,0.9997048867285826,0.9996615024085406,57605
5,0.8929506051684658,0.9510329930669268,0.9210770502589712,57406
6,0.9268175582990398,0.9383050376696872,0.9325259217086762,57606
7,0.9345545185786331,0.8396000416623268,0.8845362521603161,57606
