label,precision,recall,f1,support
0,0.988175526171384,0.9803146840866787,0.9842294096386605,56946
1,0.9898648020381976,0.9929670739669807,0.9914135111475348,53605
2,0.992266508030934,0.9909661185762463,0.9916158869762115,57229
3,0.9471987550022232,0.9824460265759664,0.9645004739872943,34693
4,0.9999479229954693,0.999982640395799,0.9999652813942992,57605
5,0.9888334185968565,0.976448454865345,0.9826019124749108,57406
6,0.9941347395609126,0.962139360483283,0.9778754035886307,57606
7,0.9571785436991527,0.9844287053431934,0.970612398589669,57606
