label,precision,recall,f1,support
0,0.9875851092050579,0.9806307730130299,0.9840956551620833,56946
1,0.9895458090392543,0.9941423374685198,0.9918387478014871,53605
2,0.9923796207288299,0.9921368536930577,0.9922582223620285,57229
3,0.9509697223384959,0.9822730810249907,0.9663679673321234,34693
4,0.999895851414685,0.999982640395799,0.9999392440220457,57605
5,0.9886073497561233,0.9780162352367349,0.983283273641164,57406
6,0.9931087289433385,0.9681456792695206,0.9804683379628002,57606
7,0.9645242639040349,0.9826406971496024,0.9734982028307565,57606
