label,precision,recall,f1,support
0,0.9411042316942128,0.9689179222421241,0.9548085658663206,56946
1,0.9679031149581143,0.9720921555825016,0.9699931125630573,53605
2,0.976573357157038,0.9454821856052001,0.9607763059767748,57229
3,0.8771645764153791,0.921309774306056,0.8986953832311758,34693
4,0.9995313720385316,0.9997048867285826,0.9996181218538448,57605
5,0.9550917141049968,0.9469393443194091,0.950998058116548,57406
6,0.9469741429902994,0.9523660729785092,0.9496624545611909,57606
7,0.9389295230601405,0.9114328368572718,0.924976877339793,57606
