label,precision,recall,f1,support
0,0.9587696451035631,0.9502335545955818,0.9544825153238965,56946
1,0.9633360491815421,0.9705064826042347,0.9669079723814923,53605
2,0.9733419211708085,0.9506194411924025,0.9618465020066831,57229
3,0.8387511815985715,0.920733289136137,0.8778322821770614,34693
4,0.9997917245209664,0.999982640395799,0.9998871733451368,57605
5,0.9503634327960333,0.9315402571159809,0.9408577083791511,57406
6,0.9436163987470311,0.9517411380758949,0.9476613544439451,57606
7,0.924923164383805,0.9037773843002465,0.9142280170332323,57606
