,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7
true_0,52382,165,541,1644,10,1012,438,754
true_1,120,50702,984,951,13,75,139,621
true_2,552,1242,52660,1267,30,449,405,624
true_3,1137,1895,1207,27271,8,328,1427,1420
true_4,0,0,13,0,57582,9,0,1
true_5,1812,225,941,3116,17,47544,2110,1641
true_6,235,226,293,1385,5,420,53622,1420
true_7,1247,1800,880,2846,21,714,6430,43668
