,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7
true_0,55825,27,64,657,0,316,8,49
true_1,7,53228,58,160,0,18,2,132
true_2,92,67,56712,204,0,88,12,54
true_3,178,159,41,34084,0,89,31,111
true_4,0,0,1,0,57604,0,0,0
true_5,324,88,186,517,2,56054,36,199
true_6,14,13,10,117,0,35,55425,1992
true_7,53,191,82,245,1,87,238,56709
