,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7
true_0,54131,78,202,1168,0,674,151,542
true_1,71,52022,243,954,1,78,18,218
true_2,597,728,53840,1042,3,389,281,349
true_3,867,931,365,31410,0,493,250,377
true_4,0,0,1,0,57604,0,0,0
true_5,977,194,394,1852,4,52254,338,1393
true_6,321,114,93,944,0,619,53289,2226
true_7,1091,1008,329,2304,2,972,1742,50158
